Curvature,slap,ApproxSLap,GripFactor
8.99874E-05,82.01266115,82,1.000
8.90057E-05,83.01281556,83,1.000
8.79475E-05,84.01296996,84,1.000
8.68894E-05,85.01312437,85,1.000
8.58313E-05,86.01327877,86,1.000
8.47732E-05,87.01343317,87,1.000
8.36765E-05,88.01358758,88,1.000
8.25535E-05,89.01374198,89,1.000
8.13812E-05,90.01389639,90,1.000
8.01084E-05,91.01405079,91,1.000
7.88357E-05,92.0142052,92,1.000
7.76041E-05,93.0143596,93,1.000
7.6376E-05,94.014514,94,1.000
7.51478E-05,95.01466841,95,1.000
7.39196E-05,96.01482281,96,1.000
7.26993E-05,97.01497722,97,1.000
7.15399E-05,98.01513162,98,1.000
7.03805E-05,99.01528603,99,1.000
6.92141E-05,100.0154404,100,1.000
6.80448E-05,101.0155948,101,1.000
6.69091E-05,102.0157492,102,1.000
6.59593E-05,103.0159036,103,1.000
6.50095E-05,104.016058,104,1.000
6.40597E-05,105.0162125,105,1.000
6.31099E-05,106.0163669,106,1.000
6.21686E-05,107.0165213,107,1.000
6.14157E-05,108.0166757,108,1.000
6.06628E-05,109.0168301,109,1.000
5.99364E-05,110.0169845,110,1.000
5.92377E-05,111.0171389,111,1.000
5.8539E-05,112.0172933,112,1.000
5.79714E-05,113.0174477,113,1.000
5.74414E-05,114.0176021,114,1.000
5.69114E-05,115.0177565,115,1.000
5.63814E-05,116.0179109,116,1.000
5.58514E-05,117.0180653,117,1.000
5.53671E-05,118.0182197,118,1.000
5.49665E-05,119.0183741,119,1.000
5.45659E-05,120.0185285,120,1.000
5.41306E-05,121.0186829,121,1.000
5.36761E-05,122.0188373,122,1.000
5.32216E-05,123.0189917,123,1.000
5.27839E-05,124.0191461,124,1.000
5.23512E-05,125.0193005,125,1.000
5.19186E-05,126.0194549,126,1.000
5.14859E-05,127.0196093,127,1.000
5.10532E-05,128.0197638,128,1.000
5.0621E-05,129.0199182,129,1.000
5.02087E-05,130.0200726,130,1.000
4.97964E-05,131.020227,131,1.000
4.93554E-05,132.0203814,132,1.000
4.87511E-05,133.0205358,133,1.000
4.81467E-05,134.0206902,134,1.000
4.75425E-05,135.0208446,135,1.000
4.69396E-05,136.020999,136,1.000
4.63367E-05,137.0211534,137,1.000
4.57338E-05,138.0213078,138,1.000
4.51309E-05,139.0214622,139,1.000
4.4528E-05,140.0216166,140,1.000
4.39262E-05,141.021771,141,1.000
4.33603E-05,142.0219254,142,1.000
4.27945E-05,143.0220798,143,1.000
4.22286E-05,144.0222342,144,1.000
4.1441E-05,145.0223886,145,1.000
4.06519E-05,146.022543,146,1.000
3.98628E-05,147.0226974,147,1.000
3.91692E-05,148.0228518,148,1.000
3.85015E-05,149.0230062,149,1.000
3.78338E-05,150.0231606,150,1.000
3.71662E-05,151.0233151,151,1.000
3.64985E-05,152.0234695,152,1.000
3.58308E-05,153.0236239,153,1.000
3.52205E-05,154.0237783,154,1.000
3.47053E-05,155.0239327,155,1.000
3.41902E-05,156.0240871,156,1.000
3.36415E-05,157.0242415,157,1.000
3.29303E-05,158.0243959,158,1.000
3.22192E-05,159.0245503,159,1.000
3.1508E-05,160.0247047,160,1.000
3.09682E-05,161.0248591,161,1.000
3.0471E-05,162.0250135,162,1.000
2.99737E-05,163.0251679,163,1.000
2.94765E-05,164.0253223,164,1.000
2.89793E-05,165.0254767,165,1.000
2.8482E-05,166.0256311,166,1.000
2.7999E-05,167.0257855,167,1.000
2.77319E-05,168.0259399,168,1.000
2.74649E-05,169.0260943,169,1.000
2.71978E-05,170.0262487,170,1.000
2.6794E-05,171.0264031,171,1.000
2.63294E-05,172.0265575,172,1.000
2.58648E-05,173.0267119,173,1.000
2.54345E-05,174.0268663,174,1.000
2.51782E-05,175.0270208,175,1.000
2.49218E-05,176.0271752,176,1.000
2.46655E-05,177.0273296,177,1.000
2.44092E-05,178.027484,178,1.000
2.41529E-05,179.0276384,179,1.000
2.38965E-05,180.0277928,180,1.000
2.36653E-05,181.0279472,181,1.000
2.36383E-05,182.0281016,182,1.000
2.36112E-05,183.028256,183,1.000
2.35842E-05,184.0284104,184,1.000
2.34044E-05,185.0285648,185,1.000
2.3115E-05,186.0287192,186,1.000
2.28255E-05,187.0288736,187,1.000
2.25361E-05,188.029028,188,1.000
2.24043E-05,189.0291824,189,1.000
2.22888E-05,190.0293368,190,1.000
2.21733E-05,191.0294912,191,1.000
2.20577E-05,192.0296456,192,1.000
2.19422E-05,193.0298,193,1.000
2.18267E-05,194.0299544,194,1.000
2.17112E-05,195.0301088,195,1.000
2.17161E-05,196.0302632,196,1.000
2.18173E-05,197.0304176,197,1.000
2.19186E-05,198.0305721,198,1.000
2.20199E-05,199.0307265,199,1.000
2.18252E-05,200.0308809,200,1.000
2.15902E-05,201.0310353,201,1.000
2.13551E-05,202.0311897,202,1.000
2.1126E-05,203.0313441,203,1.000
2.09766E-05,204.0314985,204,1.000
2.08272E-05,205.0316529,205,1.000
2.06778E-05,206.0318073,206,1.000
2.05285E-05,207.0319617,207,1.000
2.03791E-05,208.0321161,208,1.000
2.02297E-05,209.0322705,209,1.000
2.00803E-05,210.0324249,210,1.000
2.00058E-05,211.0325793,211,1.000
2.00238E-05,212.0327337,212,1.000
2.00418E-05,213.0328881,213,1.000
2.00597E-05,214.0330425,214,1.000
1.97963E-05,215.0331969,215,1.000
1.9372E-05,216.0333513,216,1.000
1.89478E-05,217.0335057,217,1.000
1.85236E-05,218.0336601,218,1.000
1.82116E-05,219.0338145,219,1.000
1.79461E-05,220.0339689,220,1.000
1.76807E-05,221.0341234,221,1.000
1.74153E-05,222.0342778,222,1.000
1.71499E-05,223.0344322,223,1.000
1.68845E-05,224.0345866,224,1.000
1.6619E-05,225.034741,225,1.000
1.63536E-05,226.0348954,226,1.000
1.63156E-05,227.0350498,227,1.000
1.63184E-05,228.0352042,228,1.000
1.63213E-05,229.0353586,229,1.000
1.63241E-05,230.035513,230,1.000
1.60028E-05,231.0356674,231,1.000
1.56527E-05,232.0358218,232,1.000
1.53026E-05,233.0359762,233,1.000
1.49525E-05,234.0361306,234,1.000
1.47663E-05,235.036285,235,1.000
1.46006E-05,236.0364394,236,1.000
1.44348E-05,237.0365938,237,1.000
1.42691E-05,238.0367482,238,1.000
1.41034E-05,239.0369026,239,1.000
1.39377E-05,240.037057,240,1.000
1.3772E-05,241.0372114,241,1.000
1.36063E-05,242.0373658,242,1.000
1.36625E-05,243.0375202,243,1.000
1.37644E-05,244.0376747,244,1.000
1.38664E-05,245.0378291,245,1.000
1.39684E-05,246.0379835,246,1.000
1.37853E-05,247.0381379,247,1.000
1.35305E-05,248.0382923,248,1.000
1.32757E-05,249.0384467,249,1.000
1.30208E-05,250.0386011,250,1.000
1.28611E-05,251.0387555,251,1.000
1.27444E-05,252.0389099,252,1.000
1.26276E-05,253.0390643,253,1.000
1.25109E-05,254.0392187,254,1.000
1.23941E-05,255.0393731,255,1.000
1.22774E-05,256.0395275,256,1.000
1.21606E-05,257.0396819,257,1.000
1.20438E-05,258.0398363,258,1.000
1.20341E-05,259.0399907,259,1.000
1.21454E-05,260.0401451,260,1.000
1.22567E-05,261.0402995,261,1.000
1.2368E-05,262.0404539,262,1.000
1.23265E-05,263.0406083,263,1.000
1.20128E-05,264.0407627,264,1.000
1.1699E-05,265.0409171,265,1.000
1.13853E-05,266.0410715,266,1.000
1.10941E-05,267.0412259,267,1.000
1.08989E-05,268.0413804,268,1.000
1.07037E-05,269.0415348,269,1.000
1.05085E-05,270.0416892,270,1.000
1.03133E-05,271.0418436,271,1.000
1.01181E-05,272.041998,272,1.000
9.92289E-06,273.0421524,273,1.000
9.72768E-06,274.0423068,274,1.000
9.53247E-06,275.0424612,275,1.000
9.54207E-06,276.0426156,276,1.000
9.58696E-06,277.04277,277,1.000
9.63184E-06,278.0429244,278,1.000
9.67673E-06,279.0430788,279,1.000
9.4675E-06,280.0432332,280,1.000
9.14105E-06,281.0433876,281,1.000
8.8146E-06,282.043542,282,1.000
8.48814E-06,283.0436964,283,1.000
8.23806E-06,284.0438508,284,1.000
8.07114E-06,285.0440052,285,1.000
7.90422E-06,286.0441596,286,1.000
7.73731E-06,287.044314,287,1.000
7.57039E-06,288.0444684,288,1.000
7.40348E-06,289.0446228,289,1.000
7.23656E-06,290.0447772,290,1.000
7.06964E-06,291.0449317,291,1.000
6.92027E-06,292.0450861,292,1.000
7.01399E-06,293.0452405,293,1.000
7.10771E-06,294.0453949,294,1.000
7.20142E-06,295.0455493,295,1.000
7.29514E-06,296.0457037,296,1.000
7.14546E-06,297.0458581,297,1.000
6.95674E-06,298.0460125,298,1.000
6.76802E-06,299.0461669,299,1.000
6.5793E-06,300.0463213,300,1.000
6.4966E-06,301.0464757,301,1.000
6.47301E-06,302.0466301,302,1.000
6.44942E-06,303.0467845,303,1.000
6.42583E-06,304.0469389,304,1.000
6.40224E-06,305.0470933,305,1.000
6.37864E-06,306.0472477,306,1.000
6.35505E-06,307.0474021,307,1.000
6.33146E-06,308.0475565,308,1.000
6.3559E-06,309.0477109,309,1.000
6.56928E-06,310.0478653,310,1.000
6.78266E-06,311.0480197,311,1.000
6.99604E-06,312.0481741,312,1.000
7.20941E-06,313.0483285,313,1.000
7.19115E-06,314.048483,314,1.000
7.1689E-06,315.0486374,315,1.000
7.14666E-06,316.0487918,316,1.000
7.12441E-06,317.0489462,317,1.000
7.16192E-06,318.0491006,318,1.000
7.21703E-06,319.049255,319,1.000
7.27214E-06,320.0494094,320,1.000
7.32725E-06,321.0495638,321,1.000
7.38236E-06,322.0497182,322,1.000
7.43747E-06,323.0498726,323,1.000
7.49257E-06,324.050027,324,1.000
7.54768E-06,325.0501814,325,1.000
7.65422E-06,326.0503358,326,1.000
7.85574E-06,327.0504902,327,1.000
8.05725E-06,328.0506446,328,1.000
8.25876E-06,329.050799,329,1.000
8.42199E-06,330.0509534,330,1.000
8.35143E-06,331.0511078,331,1.000
8.28087E-06,332.0512622,332,1.000
8.21031E-06,333.0514166,333,1.000
8.13975E-06,334.051571,334,1.000
8.12655E-06,335.0517254,335,1.000
8.11558E-06,336.0518798,336,1.000
8.10461E-06,337.0520343,337,1.000
8.09364E-06,338.0521887,338,1.000
8.08267E-06,339.0523431,339,1.000
8.0717E-06,340.0524975,340,1.000
8.06073E-06,341.0526519,341,1.000
8.04976E-06,342.0528063,342,1.000
8.12464E-06,343.0529607,343,1.000
8.25529E-06,344.0531151,344,1.000
8.38594E-06,345.0532695,345,1.000
8.51659E-06,346.0534239,346,1.000
8.58027E-06,347.0535783,347,1.000
8.5545E-06,348.0537327,348,1.000
8.52873E-06,349.0538871,349,1.000
8.50296E-06,350.0540415,350,1.000
8.49075E-06,351.0541959,351,1.000
8.50932E-06,352.0543503,352,1.000
8.52789E-06,353.0545047,353,1.000
8.54645E-06,354.0546591,354,1.000
8.56502E-06,355.0548135,355,1.000
8.58359E-06,356.0549679,356,1.000
8.60216E-06,357.0551223,357,1.000
8.62073E-06,358.0552767,358,1.000
8.64406E-06,359.0554311,359,1.000
8.74118E-06,360.0555855,360,1.000
8.8383E-06,361.05574,361,1.000
8.93541E-06,362.0558944,362,1.000
9.03253E-06,363.0560488,363,1.000
8.91059E-06,364.0562032,364,1.000
8.77423E-06,365.0563576,365,1.000
8.63787E-06,366.056512,366,1.000
8.5015E-06,367.0566664,367,1.000
8.30699E-06,368.0568208,368,1.000
8.10561E-06,369.0569752,369,1.000
7.90423E-06,370.0571296,370,1.000
7.70285E-06,371.057284,371,1.000
7.50147E-06,372.0574384,372,1.000
7.30008E-06,373.0575928,373,1.000
7.0987E-06,374.0577472,374,1.000
6.89732E-06,375.0579016,375,1.000
6.7055E-06,376.058056,376,1.000
6.51597E-06,377.0582104,377,1.000
6.32643E-06,378.0583648,378,1.000
6.1369E-06,379.0585192,379,1.000
5.67804E-06,380.0586736,380,1.000
5.13534E-06,381.058828,381,1.000
4.59264E-06,382.0589824,382,1.000
4.04994E-06,383.0591368,383,1.000
3.66534E-06,384.0592913,384,1.000
3.31561E-06,385.0594457,385,1.000
2.96589E-06,386.0596001,386,1.000
2.61616E-06,387.0597545,387,1.000
2.26644E-06,388.0599089,388,1.000
1.91672E-06,389.0600633,389,1.000
1.56699E-06,390.0602177,390,1.000
1.21727E-06,391.0603721,391,1.000
1.13325E-06,392.0605265,392,1.000
1.0685E-06,393.0606809,393,1.000
1.00376E-06,394.0608353,394,1.000
9.39E-07,395.0609897,395,1.000
9.82E-07,396.0611441,396,1.000
1.02681E-06,397.0612985,397,1.000
1.07131E-06,398.0614529,398,1.000
1.16373E-06,399.0616073,399,1.000
1.49711E-06,400.0617617,400,1.000
1.8305E-06,401.0619161,401,1.000
2.16388E-06,402.0620705,402,1.000
2.49726E-06,403.0622249,403,1.000
2.83064E-06,404.0623793,404,1.000
3.16402E-06,405.0625337,405,1.000
3.49741E-06,406.0626881,406,1.000
3.93256E-06,407.0628426,407,1.000
4.46176E-06,408.062997,408,1.000
4.99095E-06,409.0631514,409,1.000
5.52014E-06,410.0633058,410,1.000
6.04129E-06,411.0634602,411,1.000
6.55893E-06,412.0636146,412,1.000
7.07657E-06,413.063769,413,1.000
7.58931E-06,414.0639234,414,1.000
7.65136E-06,415.0640778,415,1.000
7.7134E-06,416.0642322,416,1.000
7.77544E-06,417.0643866,417,1.000
7.83749E-06,418.064541,418,1.000
7.89953E-06,419.0646954,419,1.000
7.96157E-06,420.0648498,420,1.000
8.02362E-06,421.0650042,421,1.000
7.83165E-06,422.0651586,422,1.000
7.49605E-06,423.065313,423,1.000
7.16044E-06,424.0654674,424,1.000
6.82484E-06,425.0656218,425,1.000
5.89179E-06,426.0657762,426,1.000
4.9291E-06,427.0659306,427,1.000
3.96641E-06,428.066085,428,1.000
2.88701E-06,429.0662394,429,1.000
1.64518E-06,430.0663939,430,1.000
4.03E-07,431.0665483,431,1.000
-8.38E-07,432.0667027,432,1.000
-2.08029E-06,433.0668571,433,1.000
-3.32212E-06,434.0670115,434,1.000
-4.56394E-06,435.0671659,435,1.000
-5.78784E-06,436.0673203,436,1.000
-6.97824E-06,437.0674747,437,1.000
-8.16864E-06,438.0676291,438,1.000
-9.35905E-06,439.0677835,439,1.000
-1.00697E-05,440.0679379,440,1.000
-1.06707E-05,441.0680923,441,1.000
-1.12718E-05,442.0682467,442,1.000
-1.1283E-05,443.0684011,443,1.000
-1.05451E-05,444.0685555,444,1.000
-9.80719E-06,445.0687099,445,1.000
-9.06927E-06,446.0688643,446,1.000
-8.33136E-06,447.0690187,447,1.000
-7.59344E-06,448.0691731,448,1.000
-6.85552E-06,449.0693275,449,1.000
-5.47308E-06,450.0694819,450,1.000
-3.80596E-06,451.0696363,451,1.000
-2.13884E-06,452.0697907,452,1.000
-3.35E-07,453.0699452,453,1.000
1.75785E-06,454.0700996,454,1.000
3.85104E-06,455.070254,455,1.000
6.043E-06,456.0704084,456,1.000
9.0124E-06,457.0705628,457,1.000
1.19818E-05,458.0707172,458,1.000
1.49512E-05,459.0708716,459,1.000
1.79206E-05,460.071026,460,1.000
2.089E-05,461.0711804,461,1.000
2.38594E-05,462.0713348,462,1.000
2.69511E-05,463.0714892,463,1.000
3.00957E-05,464.0716436,464,1.000
3.32403E-05,465.071798,465,1.000
3.50712E-05,466.0719524,466,1.000
3.55367E-05,467.0721068,467,1.000
3.60021E-05,468.0722612,468,1.000
3.47677E-05,469.0724156,469,1.000
3.14689E-05,470.07257,470,1.000
2.81701E-05,471.0727244,471,1.000
2.48712E-05,472.0728788,472,1.000
2.15724E-05,473.0730332,473,1.000
1.82736E-05,474.0731876,474,1.000
1.42143E-05,475.073342,475,1.000
8.88274E-06,476.0734964,476,1.000
3.55115E-06,477.0736509,477,1.000
-1.32198E-06,478.0738053,478,1.000
-5.28648E-06,479.0739597,479,1.000
-9.25098E-06,480.0741141,480,1.000
-1.25116E-05,481.0742685,481,1.000
-1.49566E-05,482.0744229,482,1.000
-1.74017E-05,483.0745773,483,1.000
-1.98468E-05,484.0747317,484,1.000
-2.22919E-05,485.0748861,485,1.000
-2.4737E-05,486.0750405,486,1.000
-2.59118E-05,487.0751949,487,1.000
-2.65909E-05,488.0753493,488,1.000
-2.727E-05,489.0755037,489,1.000
-2.77447E-05,490.0756581,490,1.000
-2.81827E-05,491.0758125,491,1.000
-2.66714E-05,492.0759669,492,1.000
-1.30877E-05,493.0761213,493,1.000
4.96E-07,494.0762757,494,1.000
1.40798E-05,495.0764301,495,1.000
2.76636E-05,496.0765845,496,1.000
4.12473E-05,497.0767389,497,1.000
6.34584E-05,498.0768933,498,1.000
8.89801E-05,499.0770477,499,1.000
0.000114602,500.0772022,500,1.000
0.000146873,501.0773566,501,1.000
0.000179144,502.077511,502,1.000
0.000211775,503.0776654,503,1.000
0.000244823,504.0778198,504,1.000
0.000277871,505.0779742,505,1.000
0.000310918,506.0781286,506,1.000
0.000343966,507.078283,507,1.000
0.000377141,508.0784374,508,1.000
0.000410536,509.0785918,509,1.000
0.000443931,510.0787462,510,1.000
0.000486811,511.0789006,511,1.000
0.000531791,512.079055,512,1.000
0.000569702,513.0792094,513,1.000
0.000597808,514.0793638,514,1.000
0.000625914,515.0795182,515,1.000
0.00065402,516.0796726,516,1.000
0.000682127,517.079827,517,1.000
0.000697878,518.0799814,518,1.000
0.000706692,519.0801358,519,1.000
0.000709856,520.0802902,520,1.000
0.000695931,521.0804446,521,1.000
0.000682005,522.080599,522,1.000
0.000658509,523.0807535,523,1.000
0.000635,524.0809079,524,1.000
0.000611491,525.0810623,525,1.000
0.000587983,526.0812167,526,1.000
0.000554424,527.0813711,527,1.000
0.000512133,528.0815255,528,1.000
0.000460932,529.0816799,529,1.000
0.000387984,530.0818343,530,1.000
0.000307267,531.0819887,531,1.000
0.000190391,532.0821431,532,1.000
7.35161E-05,533.0822975,533,1.000
-4.33592E-05,534.0824519,534,1.000
-0.000160235,535.0826063,535,1.000
-0.000306658,536.0827607,536,1.000
-0.000453493,537.0829151,537,1.000
-0.000616838,538.0830695,538,1.000
-0.00078256,539.0832239,539,1.000
-0.000931128,540.0833783,540,1.000
-0.00107744,541.0835327,541,1.000
-0.001223751,542.0836871,542,1.000
-0.001370063,543.0838415,543,1.000
-0.001498703,544.0839959,544,1.000
-0.001626215,545.0841503,545,1.000
-0.001697905,546.0843048,546,1.000
-0.001762583,547.0844592,547,1.000
-0.001776579,548.0846136,548,1.000
-0.001790574,549.084768,549,1.000
-0.00180457,550.0849224,550,1.000
-0.001799598,551.0850768,551,1.000
-0.001761209,552.0852312,552,1.000
-0.001706416,553.0853856,553,1.000
-0.001634441,554.08554,554,1.000
-0.001543356,555.0856944,555,1.000
-0.001444801,556.0858488,556,1.000
-0.001346245,557.0860032,557,1.000
-0.001240889,558.0861576,558,1.000
-0.001111069,559.086312,559,1.000
-0.000960828,560.0864664,560,1.000
-0.00078565,561.0866208,561,1.000
-0.000642977,562.0867752,562,1.000
-0.000509564,563.0869296,563,1.000
-0.000376151,564.087084,564,1.000
-0.000261431,565.0872384,565,1.000
-0.000167609,566.0873928,566,1.000
-0.000105431,567.0875472,567,1.000
-5.66764E-05,568.0877016,568,1.000
-2.78386E-05,569.087856,569,1.000
9.99E-07,570.0880105,570,1.000
2.56626E-05,571.0881649,571,1.000
9.16562E-06,572.0883193,572,1.000
-5.28211E-05,573.0884737,573,1.000
-0.000157366,574.0886281,574,1.000
-0.000191073,575.0887825,575,1.000
-0.000224781,576.0889369,576,1.000
-0.000257162,577.0890913,577,1.000
-0.000264645,578.0892457,578,1.000
-0.000286567,579.0894001,579,1.000
-0.00032144,580.0895545,580,1.000
-0.000364799,581.0897089,581,1.000
-0.000408157,582.0898633,582,1.000
-0.000465339,583.0900177,583,1.000
-0.000551189,584.0901721,584,1.000
-0.000691149,585.0903265,585,1.000
-0.000923638,586.0904809,586,1.000
-0.001225619,587.0906353,587,1.000
-0.0015276,588.0907897,588,1.000
-0.002028813,589.0909441,589,1.000
-0.002656515,590.0910985,590,1.000
-0.003470811,591.0912529,591,1.000
-0.004580271,592.0914073,592,1.000
-0.00568973,593.0915618,593,1.000
-0.007086427,594.0917162,594,1.000
-0.008914434,595.0918706,595,1.000
-0.011153544,596.092025,596,1.000
-0.013326061,597.0921794,597,1.000
-0.015498578,598.0923338,598,1.000
-0.01744674,599.0924882,599,1.000
-0.019134231,600.0926426,600,1.000
-0.020523748,601.092797,601,1.000
-0.02165699,602.0929514,602,1.000
-0.022790232,603.0931058,603,1.000
-0.023671505,604.0932602,604,1.000
-0.02453432,605.0934146,605,1.000
-0.025273567,606.093569,606,1.000
-0.025908433,607.0937234,607,1.000
-0.02647148,608.0938778,608,1.000
-0.026714256,609.0940322,609,1.000
-0.027204152,610.0941866,610,1.000
-0.027828496,611.094341,611,1.000
-0.0284841,612.0944954,612,1.000
-0.029107432,613.0946498,613,1.000
-0.029700084,614.0948042,614,1.000
-0.030311469,615.0949586,615,1.000
-0.030948131,616.0951131,616,1.000
-0.031580048,617.0952675,617,1.000
-0.031996243,618.0954219,618,1.000
-0.03284827,619.0955763,619,1.000
-0.033439803,620.0957307,620,1.000
-0.033990736,621.0958851,621,1.000
-0.034426316,622.0960395,622,1.000
-0.0349969,623.0961939,623,1.000
-0.035440662,624.0963483,624,1.000
-0.03593836,625.0965027,625,1.000
-0.036686287,626.0966571,626,1.000
-0.037275089,627.0968115,627,1.000
-0.037854951,628.0969659,628,1.000
-0.03848957,629.0971203,629,1.000
-0.039045391,630.0972747,630,1.000
-0.039667577,631.0974291,631,1.000
-0.038920091,632.0975835,632,1.000
-0.037644827,633.0977379,633,1.000
-0.033674452,634.0978923,634,1.000
-0.03015621,635.0980467,635,1.000
-0.026566737,636.0982011,636,1.000
-0.022929134,637.0983555,637,1.000
-0.019042455,638.0985099,638,1.000
-0.014953252,639.0986644,639,1.000
-0.01053242,640.0988188,640,1.000
-0.005975395,641.0989732,641,1.000
-0.000224361,642.0991276,642,1.000
0.005345393,643.099282,643,1.000
0.010395447,644.0994364,644,1.000
0.015368341,645.0995908,645,0.950
0.020250873,646.0997452,646,0.950
0.026112384,647.0998996,647,0.950
0.030657449,648.100054,648,0.950
0.034607954,649.1002084,649,0.950
0.037849453,650.1003628,650,0.950
0.04071063,651.1005172,651,0.950
0.0432328,652.1006716,652,0.950
0.044683878,653.100826,653,0.950
0.045867616,654.1009804,654,0.950
0.046729172,655.1011348,655,0.950
0.047756431,656.1012892,656,0.950
0.048713624,657.1014436,657,0.950
0.04939351,658.101598,658,0.950
0.050081317,659.1017524,659,0.950
0.048632071,660.1019068,660,0.950
0.046295825,661.1020612,661,0.950
0.044198797,662.1022156,662,0.950
0.043155844,663.1023701,663,0.950
0.042183028,664.1025245,664,0.950
0.041566329,665.1026789,665,0.950
0.041123896,666.1028333,666,0.950
0.040313658,667.1029877,667,0.950
0.039501091,668.1031421,668,0.950
0.038697563,669.1032965,669,0.950
0.03801937,670.1034509,670,0.950
0.037319035,671.1036053,671,0.950
0.036618699,672.1037597,672,0.950
0.035908257,673.1039141,673,0.950
0.035119704,674.1040685,674,0.950
0.034344161,675.1042229,675,0.950
0.033577549,676.1043773,676,0.950
0.032820034,677.1045317,677,0.950
0.032024478,678.1046861,678,0.950
0.031052459,679.1048405,679,0.950
0.030003011,680.1049949,680,0.950
0.028953563,681.1051493,681,0.950
0.027875118,682.1053037,682,0.950
0.026619985,683.1054581,683,0.950
0.025142779,684.1056125,684,0.950
0.023552489,685.1057669,685,0.950
0.021962198,686.1059214,686,0.950
0.020312376,687.1060758,687,0.950
0.018361133,688.1062302,688,0.950
0.016268855,689.1063846,689,0.950
0.014185322,690.106539,690,0.950
0.012101788,691.1066934,691,0.950
0.010145293,692.1068478,692,0.950
0.008318158,693.1070022,693,0.950
0.006744193,694.1071566,694,0.950
0.005387157,695.107311,695,0.950
0.004030121,696.1074654,696,0.950
0.003020183,697.1076198,697,0.950
0.002110474,698.1077742,698,0.950
0.001401247,699.1079286,699,0.950
0.000961778,700.108083,700,0.950
0.00052231,701.1082374,701,0.950
0.000273706,702.1083918,702,0.950
0.000131894,703.1085462,703,0.950
4.49873E-05,704.1087006,704,0.950
2.69981E-05,705.108855,705,0.950
9.0089E-06,706.1090094,706,0.950
-2.51E-07,707.1091638,707,0.950
1.03268E-05,708.1093182,708,0.950
-1.276E-06,709.1094727,709,0.950
-5.76237E-06,710.1096271,710,0.950
-2.37301E-06,711.1097815,711,0.950
1.01635E-06,712.1099359,712,0.950
1.95794E-06,713.1100903,713,0.950
1.3172E-06,714.1102447,714,0.950
-2.00E-07,715.1103991,715,0.950
4.83E-08,716.1105535,716,0.950
9.09E-07,717.1107079,717,0.950
1.76902E-06,718.1108623,718,0.950
1.89797E-06,719.1110167,719,0.950
1.34175E-06,720.1111711,720,0.950
